"Gene"	"Protein.ID"	"Protein.Description"	"SVM"	"n_ctrl"	"n_rnase"	"n_hits"	"hits"	"n_candidates"	"candidates"	"n_hits_plus_candidates"	"FC_fraction01_2"	"FC_fraction03"	"FC_fraction04"	"FC_fraction05"	"FC_fraction06"	"FC_fraction07"	"FC_fraction08"	"FC_fraction09"	"FC_fraction10"	"FC_fraction11"	"FC_fraction12"	"FC_fraction13"	"FC_fraction14"	"FC_fraction15"	"FC_fraction16"	"FC_fraction17"	"FC_fraction18"	"FC_fraction19"	"p_fraction01_2"	"p_fraction03"	"p_fraction04"	"p_fraction05"	"p_fraction06"	"p_fraction07"	"p_fraction08"	"p_fraction09"	"p_fraction10"	"p_fraction11"	"p_fraction12"	"p_fraction13"	"p_fraction14"	"p_fraction15"	"p_fraction16"	"p_fraction17"	"p_fraction18"	"p_fraction19"
"alr2890"	"Q8YT36"	"Alr2890 protein "	0,9999269895	3	3	14	"fraction01_2 fraction03 fraction07 fraction08 fraction09 fraction10 fraction11 fraction12 fraction13 fraction14 fraction15 fraction16 fraction17 fraction18"	1	"fraction06"	15	1,9649298827	1,111477222	0,2370310922	-0,1668322929	-0,6471278624	-1,0793718723	-1,4793058108	-1,9037940485	-2,1267297657	-2,0879595346	-2,074704105	-1,7800241207	-1,5728895844	-1,7802476049	-1,7614465018	-1,4222588777	-1,1970732857	-0,7610016592	7,44E-09	0,0001184351	0,5247405654	0,9288449093	0,0089348148	0,0022927541	0,0022980224	0,0002695406	7,26E-08	1,26E-05	1,25E-05	0,0015633088	0,0039974583	0,0017009973	0,0002025588	0,0309452961	0,0307546945	0,3101919733
"all3893"	"Q8YQE0"	"All3893 protein "	-0,0642500256	1	1	13	"fraction03 fraction06 fraction07 fraction08 fraction09 fraction10 fraction11 fraction13 fraction14 fraction15 fraction16 fraction18 fraction19"	0		13	0,9127590054	1,0060685547	0,4526626777	-0,159559087	-1,1235439369	-2,4275274902	-2,6006848372	-2,0479748221	-2,1335568354	-2,5641529998	-1,6466684418	-1,9772976453	-1,9203470735	-3,2426890251	-2,6388439821	-1,5957529866	-2,5131531212	-2,2206364606	0,2588212257	0,0168863549	0,2735747387	0,9496751935	0,0016886457	7,51E-09	3,07E-08	0,0041441838	0,0012535847	0,000372979	0,1127534833	0,0281571678	0,0351552637	3,28E-06	0,0001873058	0,2158786717	0,0001219023	0,000185949
"alr3672"	"Q8YQY8"	"Aldehyde dehydrogenase "	-0,9035335627	3	3	10	"fraction06 fraction11 fraction12 fraction13 fraction14 fraction15 fraction16 fraction17 fraction18 fraction19"	1	"fraction05"	11	-0,8393474368	-0,1693260126	-0,1052315106	-0,8914982222	-1,3958949475	-1,1866903817	-0,5025156991	0,0427681589	0,9144751562	1,801437199	2,266582065	2,5579176054	2,5724507883	2,4372470084	2,6439164768	2,0876180244	2,3080057636	1,9524723727	0,5233976643	0,9427859893	0,9253449438	0,0005701751	3,92E-12	0,091821562	0,7576852955	0,9597989165	0,1394122276	0,0001834355	5,59E-06	3,98E-07	5,00E-07	0,0006341298	1,04E-08	0,0038971293	5,43E-07	5,31E-06
"alr7582"	"Q8ZSC9"	"Chromosome partitioning protein, ParB family "	-0,0696482899	1	1	11	"fraction06 fraction07 fraction08 fraction09 fraction10 fraction11 fraction12 fraction13 fraction14 fraction15 fraction18"	0		11	-0,123841897	-0,6973123271	0,1235433637	0,7348335571	1,3732792828	1,4842537032	1,8855761189	1,9183361263	2,104824361	2,1540472613	2,1130746988	2,155994311	2,2473271144	1,9843748324	1,5150464174	1,6307719551	1,8221461932	0,8896403154	0,9378657744	0,2377142641	0,9269918206	0,0979180983	2,56E-05	0,0026448692	0,000535268	0,0082593401	0,0015701162	0,006979842	0,0145501862	0,0124662817	0,0054438896	0,0348556298	0,1959844631	0,1839117843	0,0187615318	0,5382553152
"alr0472"	"WP_044520649.1"	"nucleotidyltransferase family protein "	-2,147297867	1	1	9	"fraction07 fraction08 fraction09 fraction10 fraction11 fraction12 fraction13 fraction15 fraction17"	0		9	0,3277668653	-0,756217953	-0,4057096476	-0,1295176112	0,4221525438	2,0135798176	1,3916489976	1,7726618581	2,5521205893	2,7736802165	2,3210481557	2,8111321408	1,8185899903	2,2636624085	1,5204880917	2,1728383167	1,4485680593	1,4946045397	0,8858839119	0,1594750608	0,4128789357	0,9565373972	0,7603406839	5,98E-06	0,0223655307	0,0187283349	2,53E-05	8,04E-05	0,0043738345	0,0002507316	0,0575036377	0,005311264	0,1911594682	0,0140262834	0,1174874837	0,0579700098
"clpP3"	"Q8YP43"	"Probable ATP-dependent Clp protease proteolytic subunit 3 "	-1,2467648078	2	2	8	"fraction08 fraction09 fraction10 fraction11 fraction12 fraction13 fraction18 fraction19"	1	"fraction07"	9	-0,0216713027	-0,5448149365	-0,4430662027	-0,1743733841	0,3383564131	0,9663769723	1,4537183205	2,5759564411	2,0911668654	2,1254623093	1,8864984087	1,9063194862	1,4998954239	1,08029724	1,0185927604	2,3386086004	2,4828558658	1,4345311075	0,9505561619	0,2032437268	0,4536768982	0,9425197836	0,7104710596	0,0303736092	0,0163234173	0,0101455696	0,0026490543	0,0412730751	0,0117609793	0,0190045216	0,1198676327	0,5338599124	0,7537173992	0,5093491823	4,63E-07	0,0240117771
"asl0319"	"Q8YZY5"	"Asl0319 protein "	-1,8195670609	2	2	8	"fraction08 fraction09 fraction10 fraction11 fraction12 fraction14 fraction16 fraction19"	0		8	0,0840637121	-0,4346775227	0,290741023	0,2837594456	0,0534577147	0,7613257907	1,2898449364	1,9059780287	1,8987180478	1,7136207584	1,7412766082	1,4442317959	1,5626835096	1,4555252275	1,9455597239		1,0707720434	1,514956091	0,9406695854	0,475006838	0,7047041502	0,8324651062	0,9675269277	0,7911615576	0,0044957502	0,0017518929	0,0001190712	0,0099367582	0,0072939749	0,0617538819	0,0337622136	0,3164116333	0,0004789699		0,1679834089	0,0040752852
"patU3"	"WP_231865547.1"	"PatU "	-1,7216613337	1	1	8	"fraction03 fraction05 fraction06 fraction07 fraction08 fraction09 fraction18 fraction19"	0		8	0,6446517406	1,485800735	0,1509951874	-1,095459987	-1,1047708432	-1,4389330805	-1,6200573079	-1,9926684158	-0,8832763019	-0,3042780107	-0,6879299286	-0,9082575167		-0,5476322728	-1,0541564229	-1,5018463248	-2,0302145677	-1,8427943843	0,6335002652	1,99E-05	0,9124798295	0,001008094	0,0022236641	0,0043322839	0,0045754469	0,0052026308	0,6065926124	0,9648307203	0,8830540937	0,699474882		0,9566512465	0,7058973173	0,3162735613	0,0048327219	0,0053777305
"trpG"	"WP_044520553.1"	"aminodeoxychorismate/anthranilate synthase component II "	-1,5713714676	2	2	8	"fraction09 fraction10 fraction11 fraction13 fraction15 fraction16 fraction18 fraction19"	0		8	-0,5796401204	-0,4423160273	0,0221873558	-0,1782279274	0,1988642546	0,010018669	1,0953086782	1,421619161	2,251014533	1,8428897819	1,4910530497	1,9089427916	1,4650921696	1,7666176758	1,6628256254	1,394086726	1,5573003395	1,1885796529	0,5302974075	0,6640570724	0,9563800624	0,9474476895	0,9062932085	0,9778757544	0,0839878492	0,0254835054	1,70E-06	0,0016142465	0,0543387761	0,0025505877	0,0523961404	0,0049403398	0,013526629	0,0697151268	0,0132124715	0,0294854249
"alr3622"	"Q8YR31"	"Alr3622 protein "	-0,5179960827	1	1	8	"fraction08 fraction09 fraction10 fraction11 fraction12 fraction13 fraction15 fraction16"	0		8	0,4370749517	-0,251182624	-0,2575130595	-0,2564807805	-0,0046591251	0,757739075	1,4850856158	2,0928061923	2,7329204406	2,4372658759	2,1081516636	3,5570277923	1,628168071	2,1152554711	2,3984717544	0,7670342452	1,0479380548	0,8609234413	0,8317822706	0,8997503889	0,8042159214	0,9135661748	0,9692768481	0,5700620146	0,0119472824	0,0032617218	3,95E-06	0,0008547676	0,0148698513	2,28E-07	0,1468496527	0,014934627	0,0010069984	0,9172993375	0,4986057061	0,5747648846
