"SYMBOL"	"LocusTag"	"description"	"LENGTH_AA"	"PROTEIN_REFSEQ"	"UNIPROT"	"PI"	"link_UNIPROT"	"link_NCBI"	"MW"	"new_Gene"	"SVM_prediction"	"Shift"	"High_significant_fractions"	"Low_significant_fractions"	"Cluster"	"Cluster_confidence"
"aar"	"PCC7120DELTA_RS27965"	"Long-chain acyl"	339	"WP_010999408.1"	"Q8YLL4"	"5.58"	"https://www.uniprot.org/uniprotkb/Q8YLL4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999408.1/"	"37.7"	"aar(alr5284)"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.85"
"abp1"	"PCC7120DELTA_RS11485"	"Insulinase family protein"	528	"WP_010996104.1"	"Q8YVN4"	"8.77"	"https://www.uniprot.org/uniprotkb/Q8YVN4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996104.1/"	"59.61"	"abp1(all1940)"	"FALSE"	"FALSE"	"NA"	"NA"	12	"99.39"
"abp2"	"PCC7120DELTA_RS11480"	"Insulinase family protein"	490	"WP_231865521.1"	"Q8YVN5"	"9.61"	"https://www.uniprot.org/uniprotkb/Q8YVN5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_231865521.1/"	"56.78"	"abp2(all1939)"	"FALSE"	"FALSE"	"NA"	"NA"	12	"99.97"
"abp3"	"PCC7120DELTA_RS19765"	"DUF1565 domain-containing protein"	552	"WP_010997757.1"	"Q8YR42"	"9.41"	"https://www.uniprot.org/uniprotkb/Q8YR42/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010997757.1/"	"58.27"	"abp3(alr3608)"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"abp4"	"PCC7120DELTA_RS22915"	"HlyD family efflux transporter periplasmic adaptor subunit"	523	"WP_010998378.1"	"Q8YPF4"	"8.93"	"https://www.uniprot.org/uniprotkb/Q8YPF4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010998378.1/"	"58.75"	"abp4(alr4240)"	"FALSE"	"FALSE"	"NA"	"NA"	8	100
"accA"	"PCC7120DELTA_RS27970"	"Acetyl-CoA carboxylase carboxyltransferase subunit alpha"	326	"WP_010999409.1"	"Q8YLL3"	"6.1"	"https://www.uniprot.org/uniprotkb/Q8YLL3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999409.1/"	"35.68"	"accA(alr5285)"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.96"
"accB"	"PCC7120DELTA_RS26860"	"Acetyl-CoA carboxylase biotin carboxyl carrier protein"	182	"WP_010999183.1"	"Q06881"	"4.63"	"https://www.uniprot.org/uniprotkb/Q06881/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999183.1/"	"19.18"	"accB(all5057)"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"accC"	"PCC7120DELTA_RS06560"	"Acetyl-CoA carboxylase biotin carboxylase subunit"	447	"WP_010995113.1"	"Q06862"	"5.89"	"https://www.uniprot.org/uniprotkb/Q06862/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995113.1/"	"49.1"	"accC(alr0939)"	"FALSE"	"FALSE"	"NA"	"NA"	9	100
"accD"	"PCC7120DELTA_RS13660"	"Acetyl-CoA carboxylase, carboxyltransferase subunit beta"	316	"WP_010996520.1"	"Q8YUI2"	"7.67"	"https://www.uniprot.org/uniprotkb/Q8YUI2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996520.1/"	"35.46"	"accD(all2364)"	"FALSE"	"FALSE"	"NA"	"NA"	9	100
"ackA"	"PCC7120DELTA_RS14620"	"Acetate kinase"	405	"WP_010996717.1"	"Q8YU00"	"6.16"	"https://www.uniprot.org/uniprotkb/Q8YU00/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996717.1/"	"43.94"	"ackA(all2561)"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
