Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	9.81	1	0.999	5	5	5	5	5	5	9365251	9365251	9365251	7C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	34808.5791	326155.3232	1062405.252	1031114.7324	302433.6577	138994.9053	91903.3875	58039.597	26403.4697	25582.5864	21193.2104	18737.2657	23147.1011	23847.7899	38430.2848	34606.9651	40880.8199	103988.1292
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	5.56	1	0.999	1	1	1	1	1	1	824028	824028	824028	9K(304.2071), N-term(304.2071)	NA	NA	40153.3516	229573.4375	335450.75	345980.1562	131572.9375	70243.6328	46727.668	27833.959	20990.6191	14703.4316	7868.8379	10450.1035	9031.4014	8269.6172	17782.8398	22244.0625	33024.375	81721.6172
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	3.73	1	0.999	3	3	3	3	3	3	5015230	5015230	5015230	10K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	543831.4805	972719.0312	2394128.4219	2036333.25	604846.875	335022.0938	211163.9766	125634.1523	68620.3652	47229.584	47393.0664	33181.6436	44281.3477	41144.335	51335.1758	54295.3262	74089.0801	133543.9336
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	11.66	1	0.999	2	2	2	2	2	2	1526764	1526764	1526764	10K(304.2071), N-term(304.2071)	NA	NA	16653.2231	155772.8398	238055.1914	245104.3047	112712.375	58681.9434	39792.8418	39021.1187	15649.3281	13399.2881	9301.0571	6554.5986	8810.5303	9469.4399	13311.7754	6823.8589	9026.9453	16005.4912
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	21.21	1	0.999	3	3	3	4	4	4	1390751	1390751	1390751	8M(15.9949), 9K(304.2071), N-term(304.2071)	NA	NA	96361.3398	516735.6875	592806.4375	248049.875	64738.6426	38717.4141	26167.0771	21263.2539	38089.4414	24445.4072	22170.5352	16057.5098	16819.2559	11751.113	27963.355	15325.2588	16011.7068	17497.0137
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	30.51	1	0.999	8	3	8	12	5	12	31551795	23384179	31551795	11M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	251946.7244	1852956.4492	2383787.0938	2172492.7891	805889.7324	399065.4531	582924.5352	170202.2285	120148.604	88830.6606	75713.0271	57733.1814	69838.8801	184604.0903	298464.0386	273109.6494	286245.6758	733709.9348
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	14.06	1	0.999	7	7	7	10	10	10	13155901	13155901	13155901	10K(304.2071), 11K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	102111.916	1384134.7031	2338263.2598	2775328.3906	2033499.5059	1705445.8027	880981.499	231881.5493	127810.0703	82592.9622	49881.5405	49127.783	36573.7646	29507.8391	40698.0115	52862.957	65933.325	201125.1245
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	46.43	1	0.999	24	24	24	404	404	404	8346142592	8346142592	8346142592	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 2M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	4149579.6204	35646425.1758	119527566.8359	215231888.3914	110889582.957	65212910.4785	105465752.5376	229195460.7979	2926392367.8657	1552686265.8735	397745213.1516	215787467.7603	156106263.9062	210558302.4816	288718899.1929	224030088.9032	189245927.2991	174164086.4446
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	28.27	1	0.999	13	13	13	151	151	151	1175610240	1175610240	1175610240	12K(304.2071), 17K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	1941866.8018	7937218.4651	9754956.2559	10549334.1589	6159785.8101	4513204.8713	5392684.5312	9080789.6365	28890102.6028	202271620.5659	482370509.8032	111523905.1138	26384908.7676	13871403.8987	8254960.624	4219353.9958	2928629.9886	3737114.5208
sp|P05514|DBH_NOSS1	P05514	DBH_NOSS1	hanA	94	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	DNA-binding protein HU 	1:Experimental evidence at protein level	39.36	1	0.999	4	4	4	28	28	28	712129856	712129856	712129856	10K(304.2071), 1M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	41506135.8198	158500768.2754	94208088.9844	36031808.8965	7809225.75	2965565.8271	1755121.2124	900195.5154	362750.6018	170768.8169	78462.5662	85347.776	87415.9194	74902.698	92847.8181	87068.6477	74238.9854	376653.8289
sp|P06514|RBS_NOSS1	P06514	RBS_NOSS1	rbcS	109	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase small subunit 	1:Experimental evidence at protein level	47.71	1	0.999	6	6	6	53	53	53	1632457720	1632457720	1632457720	17K(304.2071), 18K(304.2071), 7K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)	NA	NA	1826179.9856	12815154.8174	18872373.2595	29698126.8389	23305517.6475	24764801.54	34025659.334	31000757.8818	26945327.6406	8519250.0752	2600707.5205	1519736.0364	860432.9835	568686.6882	700502.1333	1285922.0884	1131875.7317	2337642.7178
sp|P06540|ATPB_NOSS1	P06540	ATPB_NOSS1	atpB	482	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit beta 	3:Protein inferred from homology	60.79	1	0.999	19	19	19	311	311	311	3916535680	3916535680	3916535680	11K(304.2071), 15M(15.9949), 16K(304.2071), 17K(304.2071), 18K(304.2071), 1M(15.9949), 24K(304.2071), 4M(15.9949), 5M(15.9949), 7K(304.2071), 8M(15.9949), 9M(15.9949), N-term(304.2071)	NA	NA	9790219.0613	139390812.3105	152530246.6807	88573546.8152	58594844.6338	77917511.4219	223441182.9834	680083289.395	225998496.4144	111453491.3861	80835023.5039	63118859.4387	49778331.1542	59605661.9917	58891953.5209	43975211.093	29549883.3479	25979308.5713
sp|P06542|ATPE_NOSS1	P06542	ATPE_NOSS1	atpE	137	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase epsilon chain 	3:Protein inferred from homology	34.31	1	0.999	5	5	5	34	34	34	720858296	720858296	720858296	11K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	10154322.1516	28183673.8857	22411066.7754	28437418.207	25227262.4043	18331247.543	26899705.1865	120231333.7129	39015540.7842	16382319.5288	10243223.8071	8323904.3752	6661815.928	8171430.0256	9431527.543	7407050.2021	5090673.8777	4529966.0356
sp|P07120|PHCB_NOSS1	P07120	PHCB_NOSS1	cpcB	173	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	C-phycocyanin beta subunit 	1:Experimental evidence at protein level	81.5	1	0.999	14	14	14	1053	1053	1053	27058836992	27058836992	27058836992	15K(304.2071), 17K(304.2071), 19K(304.2071), 1M(15.9949), 2K(304.2071), 2M(15.9949), 5C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	87643489.0775	1527895056.9788	2615170357.0674	3775579814.8374	3543775361.6995	4492467662.4648	8394288736.3132	2636843292.3545	672177731.4384	150084981.3374	76220669.3186	35591014.2217	28896298.4872	42851099.2101	43218034.4281	35757457.281	38786438.3693	23801342.3204
sp|P07121|PHCA_NOSS1	P07121	PHCA_NOSS1	cpcA	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	C-phycocyanin alpha subunit 	1:Experimental evidence at protein level	50.31	1	0.999	9	9	9	485	485	485	17100168448	17100168448	17100168448	12K(304.2071), 1M(15.9949), 2K(304.2071), 3K(304.2071), N-term(304.2071)	NA	NA	54634753.9562	837603511.5195	1318962788.2529	1750163791.1172	1493570976.269	1647239757.9927	3023153942.9006	991670360.6975	318159460.9894	72743642.9669	36451786.6193	19819236.7039	16378350.532	20154280.3899	22228960.7046	14325931.5026	14899616.4526	12803132.4611
sp|P07123|PYR1_NOSS1	P07123	PYR1_NOSS1	cpcC	286	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 	1:Experimental evidence at protein level	65.73	1	0.999	23	22	23	322	303	322	8893121792	8197656576	8893121792	11K(304.2071), 18K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	16632778.2731	129309369.2371	376712735.1655	784836373.5918	1057167992.2925	1566861189.335	2207220830.9934	1264605915.6318	472009019.8003	126727249.415	80632410.4451	72812580.3446	76578734.7871	128357205.8151	209959751.8541	183586480.4387	180787800.3571	191011180.6852
sp|P07124|PYS1_NOSS1	P07124	PYS1_NOSS1	cpcD	80	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod 	1:Experimental evidence at protein level	76.25	1	0.999	6	6	6	82	82	82	4597851104	4597851104	4597851104	1M(15.9949), 7K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	12375351.1846	74920832.7305	121319748.5352	194595791.5352	102748789.7578	75203531.9619	104123980.2954	33534315.978	6335021.4404	1861837.4885	959681.58	503153.7188	723737.0542	672909.4132	921739.3367	818747.5262	796177.7664	721521.5652
sp|P07125|CPCE_NOSS1	P07125	CPCE_NOSS1	cpcE	276	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycocyanobilin lyase subunit alpha 	1:Experimental evidence at protein level	9.06	1	0.999	3	2	3	3	2	3	16945321	4709414	16945321	3C(57.0214), 8K(304.2071), N-term(304.2071)	NA	NA	51933.4424	812684.4375	1029606.7188	500804.4414	132363.6855	60255.833	46399.1748	35334.9658	23777.2158	16410.9216	14116.2095	16436.854	16187.0364	17810.8145	18124.7686	18507.105	20104.3008	33927.9233
sp|P0A384|CYB6_NOSS1	P0A384	CYB6_NOSS1	petB	215	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cytochrome b6 	1:Experimental evidence at protein level	15.35	1	0.999	3	3	3	7	7	7	575752469	575752469	575752469	13K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	204751.2051	607548.6963	1624418.9824	4695132.4102	2716420.2969	3863027.4355	3804522.4424	947328.5029	415572.375	118021.252	102806.0352	50387.3447	62137.9785	50158.3171	89868.8516	61856.1665	59217.7891	133622.8003
sp|P0A3C7|FER1_NOSS1	P0A3C7	FER1_NOSS1	petF	99	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ferredoxin-1 	1:Experimental evidence at protein level	21.21	1	0.999	2	2	2	50	50	50	1886685168	1886685168	1886685168	10K(304.2071), 11K(304.2071), 4C(57.0214), 7C(57.0214), N-term(304.2071)	NA	NA	73152480.0469	116787007.2578	41991342.0039	14461736.1914	3074563.6826	936394.0913	572860.8972	355572.5195	283529.3105	176325.0181	126281.3137	96054.0155	103503.7828	82854.7847	159816.2673	120270.498	146163.6084	264635.7957
sp|P0A3D9|FLAV_NOSS1	P0A3D9	FLAV_NOSS1	isiB	170	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Flavodoxin 	1:Experimental evidence at protein level	52.35	1	0.999	7	7	7	136	136	136	2888250848	2888250848	2888250848	11K(304.2071), 12K(304.2071), 16K(304.2071), 1K(304.2071), 27K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	779535621.168	2686730691.8457	1103516882.3584	400286169.6475	73366818.019	21380552.3962	7405868.0728	4184402.082	677807.8845	395672.8679	332515.4253	297459.1473	604522.6528	263220.4604	392594.4222	224759.1831	338688.109	705066.6184
sp|P0A3S5|NU3C_NOSS1	P0A3S5	NU3C_NOSS1	ndhC	120	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	"NAD(P)H-quinone oxidoreductase subunit 3 "	3:Protein inferred from homology	9.17	1	0.999	1	1	1	3	3	3	72523448	72523448	72523448	N-term(304.2071)	NA	NA	24472.646	150024.6719	376519.5625	636171.5156	457775.3945	459008.4707	578306.3291	366640.3101	172072.0107	104427.2051	84590.0718	64904.0498	50840.9434	50130.6719	66533.5078	80566.7544	73299.7866	76625
sp|P0A3X7|CYC6_NOSS1	P0A3X7	CYC6_NOSS1	cytA	111	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cytochrome c6 	1:Experimental evidence at protein level	27.93	1	0.999	3	2	3	10	5	10	52226600	44158224	52226600	17K(304.2071), 3M(15.9949), 7K(304.2071), N-term(304.2071)	NA	NA	3747659.8125	5046821.875	3744039.6719	2138126.4688	506463.7852	243052.8135	189727.0908	128472.1064	82664.8442	73981.5347	62888.6892	66725.1963	65017.2009	32931.3323	66844.1475	43475.189	60144.9038	69624.8914
sp|P0A410|PSAC_NOSS1	P0A410	PSAC_NOSS1	psaC	81	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem I iron-sulfur center 	1:Experimental evidence at protein level	65.43	1	0.999	6	6	6	43	43	43	1183727760	1183727760	1183727760	11C(57.0214), 1C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 8K(304.2071), N-term(304.2071)	NA	NA	1004840.1841	4752469.5781	5749326.7832	4610925.2285	1454229.7822	2732710.0859	30075467.9531	31521381.3438	18440212.9907	8222128.78	7150859.0562	5727989.3569	6447283.7026	9987132.2507	18547560.3345	16236322.8252	15443647.3359	18620472.9595
sp|P0A457|T2A1_NOSS1	P0A457	T2A1_NOSS1	avaIR	315	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Type II restriction enzyme AvaI 	4:Protein predicted	9.52	1	0.999	3	3	3	4	4	4	15023243	15023243	15023243	8M(15.9949), N-term(304.2071)	NA	NA	54251.21	314018.6543	1934302.3984	2161239.8125	528831.2832	179270.4385	128001.9238	118602.2461	53824.594	42246.9836	30527.7456	24925.8037	37352.998	23464.7026	33640.7935	26496.6057	29445.1948	49508.3472
sp|P0A4B7|RS21A_NOSS1	P0A4B7	RS21A_NOSS1	rpsU1	62	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	30S ribosomal protein S21 A 	3:Protein inferred from homology	25.81	1	0.999	2	2	2	11	11	11	96361484	96361484	96361484	7M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	458787.4346	971736.8398	923569.0215	1290274.5898	477744.3594	323639.5498	242720.1108	220853.3657	217238.0371	306601.4497	599861.0205	536532.7778	1427292.6943	3738954.1458	24420168.9414	10269933.2085	6277879.2222	6015591.751
sp|P0A4K0|SSB1_NOSS1	P0A4K0	SSB1_NOSS1	ssb1	119	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Single-stranded DNA-binding protein 1 	3:Protein inferred from homology	66.39	1	0.999	9	9	9	16	16	16	100546700	100546700	100546700	10K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	298202.9639	4883126.7969	12785008.1328	9171410.7422	2925240.4863	2131796.7461	1941394.5239	1256316.457	629017.8379	320787.012	225478.0249	171315.2637	171895.8408	187096.3879	248791.0449	203213.8159	285212.1243	341045.292
sp|P0A4L1|THIO1_NOSS1	P0A4L1	THIO1_NOSS1	trxM1	107	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Thioredoxin 1 	3:Protein inferred from homology	67.29	1	0.999	6	6	6	62	62	62	378873792	378873792	378873792	10K(304.2071), 12K(304.2071), 16K(304.2071), 1M(15.9949), 3M(15.9949), 6M(15.9949), 9K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	50426469.3047	52747050.5547	26771773.2559	13199758.6934	3127290.8682	1579838.9727	1137849.7798	760662.1416	380169.5803	261000.4365	227814.1172	278645.1282	241458.9958	213154.5796	333650.041	366573.6494	416921.6495	2371709.7058
sp|P0A4U6|NTCA_NOSS1	P0A4U6	NTCA_NOSS1	ntcA	223	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Global nitrogen regulator 	1:Experimental evidence at protein level	21.97	1	0.999	4	4	4	8	8	8	4403009	4403009	4403009	2M(15.9949), 5K(304.2071), 7M(15.9949), 9M(15.9949), N-term(304.2071)	NA	NA	32011.9961	524336.4902	800249.749	527629.708	162876.123	88737.9722	60665.2783	32924.8672	20553.8677	18092.3602	12587.7756	15874.6528	26856.6448	19617.0801	34362.564	31906.5469	40167.3806	64771.5964
sp|P12405|ATPA_NOSS1	P12405	ATPA_NOSS1	atpA	506	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit alpha 	3:Protein inferred from homology	44.07	1	0.999	20	19	20	378	362	378	8666002176	8666002176	8666002176	11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 16M(15.9949), 25K(304.2071), 2M(15.9949), 6M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	12174807.5696	128945153.0762	362447794.1479	384580705.043	192864530.1812	181538736.2644	584676990.8745	2318902970.8777	830122931.1323	349363718.8843	253905311.3873	201426463.0387	183265971.2959	244754727.0073	348829605.8215	231834655.8185	167418428.0729	156480905.0333
sp|P12406|ATPD_NOSS1	P12406	ATPD_NOSS1	atpD	183	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit delta 	3:Protein inferred from homology	50.82	1	0.999	8	8	8	29	29	29	259677412	259677412	259677412	12K(304.2071), 19K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	793887.3906	7752984.8105	9870101.3184	5060299.0654	1190061.5906	644683.6545	707152.9358	2503441.8252	1883133.4702	1140935.8184	1282553.9089	1168393.134	1235368.0076	1391689.5491	1592295.7126	1168459.6748	969197.5188	847812.9602
sp|P12407|ATPF_NOSS1	P12407	ATPF_NOSS1	atpF	187	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit b 	3:Protein inferred from homology	39.04	1	0.999	8	8	8	32	32	32	708260008	708260008	708260008	15K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	688305.1292	10658988.0513	31206453.123	20031905.4824	5523229.46	2415550.1782	1470943.4697	780036.3071	978066.2129	824255.0913	1013392.4268	1002360.6704	1032428.3203	1701978.8296	1725719.376	1766477.7153	1823972.957	1525945.4551
